X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
Encuesta,Fecha,Muestra,SPD,CDU/CSU,Grüne,FDP,AfD,Linke,Otros
Encuesta,Fecha,Muestra,,,,,,,Otros
Wahlkreisprognose[84],22–24 Sep 2021,"1,400",25.5,22.5,14,12,11,7,8
Ipsos[85],22–23 Sep 2021,"2,000",26,22,16,12,11,7,6
Forschungsgruppe Wahlen[86],22–23 Sep 2021,"1,273",25,23,16.5,11,10,6,8.5
Forsa[87],20–23 Sep 2021,"2,002",25,22,17,12,10,6,8
Allensbach[88],16–23 Sep 2021,"1,554",26,25,16,10.5,10,5,7.5
Civey[89],16–23 Sep 2021,"10,012",25,23,16,12,10,6,8
YouGov[90],16–22 Sep 2021,"2,364",25,21,14,11,12,7,9
Wahlkreisprognose[91],20–21 Sep 2021,"1,801",25,21.5,15,12.5,11,6.5,8.5
Kantar[92],15–21 Sep 2021,"1,433",25,21,16,11,11,7,9
INSA[93],17–20 Sep 2021,"2,054",25,22,15,12,11,6.5,8.5
Forsa[87],14–20 Sep 2021,"2,502",25,22,17,11,11,6,8
INSA[93],13–17 Sep 2021,"1,502",26,21,15,12,11,6,9
Ipsos[85],15–16 Sep 2021,"2,000",27,21,18,10,11,7,6
Forschungsgruppe Wahlen[86],14–16 Sep 2021,"1,406",25,22,16,11,11,6,9
Trend Research[94],13–16 Sep 2021,"1,097",27,22,15,12,11,7,8
Infratest dimap[95],13–15 Sep 2021,"1,512",26,22,15,11,11,6,9
Wahlkreisprognose[96],13–15 Sep 2021,"1,400",27,20,15,12.5,11,6.5,8
Civey[97],8–15 Sep 2021,"10,029",25,23,17,12,10,6,7
YouGov[90],9–14 Sep 2021,"1,816",25,20,15,10,11,8,10
Kantar[92],8–14 Sep 2021,"1,543",26,20,17,11,12,6,8
INSA[93],10–13 Sep 2021,"2,062",26,20.5,15,12.5,11.5,6.5,8
GMS[98],8–13 Sep 2021,"1,003",25,23,16,13,11,6,6
Forsa[87],7–13 Sep 2021,"2,501",25,21,17,11,11,6,9
INSA[93],6–10 Sep 2021,"1,152",26,20,15,13,11,6,9
Forschungsgruppe Wahlen[86],7–9 Sep 2021,"1,281",25,22,17,11,11,6,8
Kantar[92],1–7 Sep 2021,"1,901",25,21,17,12,12,6,7
Wahlkreisprognose[99],6–8 Sep 2021,"1,208",28,19,14,12,11,6,10
Civey[100],31 Aug–8 Sep 2021,"10,082",25,23,17,11,11,6,7
YouGov[90],3–7 Sep 2021,"1,700",26,21,15,10,12,6,10
Allensbach[88],1–7 Sep 2021,"1,258",27,25,15.5,9.5,11,6,6
INSA[93],3–6 Sep 2021,"2,052",26,20.5,15.5,12.5,11,6.5,8
GMS[98],1–6 Sep 2021,"1,004",25,23,17,12,11,6,6
Forsa[87],31 Ago–6 Sep 2021,"2,505",25,19,17,13,11,6,9
INSA[93],30 Ago–3 Sep 2021,"1,427",25,20,16,13,12,7,7
Forschungsgruppe Wahlen[86],31 Ago–2 Sep 2021,"1,301",25,22,17,11,11,7,7
Infratest dimap[95],30 Ago–1 Sep 2021,"1,337",25,20,16,13,12,6,8
Wahlkreisprognose[101],30–31 Ago 2021,"2,340",27,19.5,15.5,13,10.5,6.5,8
Kantar[92],25–31 Ago 2021,"1,439",25,21,19,11,11,7,6
INSA[93],27–30 Ago 2021,"2,015",25,20,16.5,13.5,11,7,7
Forsa[87],24–30 Ago 2021,"2,508",23,21,18,12,11,6,9
Ipsos[85],28–29 Ago 2021,"2,001",25,21,19,11,11,7,6
INSA[93],23–27 Ago 2021,"1,247",24,21,17,13,11,6,8
Forschungsgruppe Wahlen[86],24–26 Ago 2021,"1,300",22,22,20,10,11,6,9
Allensbach[88],18–26 Ago 2021,"1,038",24,26,17,10.5,10.5,6,6
Civey[102],18–25 Ago 2021,"10,054",22,22,18,12,12,7,7
YouGov[90],20–24 Ago 2021,"1,689",24,22,16,13,11,8,7
Kantar[92],18–24 Ago 2021,"1,919",23,23,18,12,11,7,6
INSA[93],20–23 Ago 2021,"2,119",23,23,17,13,11,7,6
Forsa[87],16–23 Ago 2021,"2,504",23,22,18,12,10,6,9
INSA[93],16–20 Ago 2021,"1,352",22,22,17,13,12,7,7
Infratest dimap[95],17–18 Ago 2021,"1,219",21,23,17,13,11,7,8
Trend Research[103],12–18 Ago 2021,"1,798",21,23,17,13,12,7,8
Civey[104],11–18 Ago 2021,"10,117",19,24,20,12,11,7,7
Wahlkreisprognose[105],14–17 Ago 2021,"2,005",22,22,17.5,11,11,7,9.5
Kantar[92],11–17 Ago 2021,"1,920",21,22,19,12,11,7,8
Allensbach[88],5–17 Ago 2021,"1,018",19.5,27.5,17.5,11,11,7.5,6
INSA[93],13–16 Ago 2021,"2,080",20,25,17.5,12.5,11,6.5,7.5
INSA[93],9–13 Ago 2021,"1,450",20,25,18,12,11,7,7
Forschungsgruppe Wahlen[86],10–12 Ago 2021,"1,252",19,26,19,11,11,7,7
Kantar[92],4–10 Ago 2021,"1,446",19,22,21,12,11,7,8
INSA[93],6–9 Ago 2021,"2,118",17.5,25.5,17.5,12.5,11.5,6.5,9
Forsa[87],3–9 Ago 2021,"2,509",19,23,20,12,10,7,9
INSA[93],2–6 Ago 2021,"2,002",18,26,18,12,11,7,8
Infratest dimap[95],2–4 Ago 2021,"1,312",18,27,19,12,10,6,8
Kantar[92],28 Jul–3 Ago 2021,"1,413",18,24,22,13,11,6,6
INSA[93],30 Jul–2 Ago 2021,"2,080",11,27.5,18,7,13,18,5.5
Forsa[87],27 Jul–2 Ago 2021,"2,502",16,26,20,13,10,6,9
Ipsos[85],21–31 Jul 2021,"2,002",18,27,20,10,11,7,7
INSA[93],26–30 Jul 2021,"1,196",17,27,18,13,11,6,8
Forschungsgruppe Wahlen[86],27–29 Jul 2021,"1,268",16,28,21,10,11,7,7
GMS[98],21–27 Jul 2021,"1,003",15,30,18,12,10,7,8
INSA[93],23–26 Jul 2021,"2,007",17.5,27,17.5,13,12,6,7
Forsa[87],20–26 Jul 2021,"2,501",15,26,21,13,10,7,8
INSA[93],19–23 Jul 2021,"1,316",17,27,18,13,11,7,7
Infratest dimap[95],20–21 Jul 2021,"1,188",16,29,19,12,10,6,8
Kantar[92],14–20 Jul 2021,"1,421",16,28,19,12,11,7,7
INSA[93],16–19 Jul 2021,"2,064",16.5,29,18,12,11.5,6,7
Forsa[87],13–19 Jul 2021,"2,503",16,28,19,12,10,7,8
INSA[93],12–16 Jul 2021,"1,354",17,28,18,12,11,7,7
Forschungsgruppe Wahlen[86],13–15 Jul 2021,"1,224",15,30,20,10,10,7,8
Allensbach[88],3–14 Jul 2021,"1,028",16.5,31.5,18,12,9.5,6.5,6
Kantar[92],7–13 Jul 2021,"1,495",15,28,20,11,11,8,7
